Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
36.8,26.611,25.586,1.5,0.0,0.0
36.9,26.611,25.586,1.5,0.0,0.0
37.0,26.611,25.586,1.5,0.0,0.0
37.1,26.66,25.586,1.5,0.0,0.0
37.2,26.66,25.586,1.5,0.0,0.0
37.3,26.66,25.635,1.5,0.0,0.0
37.4,26.66,25.586,1.5,0.0,0.0
37.5,26.66,25.586,1.5,0.0,0.0
37.6,26.66,25.586,1.5,0.0,0.0
37.7,26.709,25.635,1.5,0.0,0.0
37.8,26.709,25.586,1.5,0.0,0.0
37.9,26.709,25.635,1.5,0.0,0.0
38.0,26.709,25.635,1.5,0.0,0.0
38.1,26.758,25.635,1.5,0.0,0.0
38.2,26.758,25.635,1.5,0.0,0.0
38.3,26.758,25.635,1.5,0.0,0.0
38.4,26.758,25.635,1.5,0.0,0.0
38.5,26.758,25.684,1.5,0.0,0.0
38.6,26.807,25.684,1.5,0.0,0.0
38.7,26.807,25.684,1.5,0.0,0.0
38.8,26.807,25.684,1.5,0.0,0.0
38.9,26.807,25.684,1.5,0.0,0.0
39.0,26.758,25.635,1.5,0.0,0.0
39.1,26.807,25.635,1.5,0.0,0.0
39.2,26.758,25.635,1.5,0.0,0.0
39.3,26.855,25.684,1.5,0.0,0.0
39.4,26.807,25.684,1.5,0.0,0.0
39.5,26.855,25.684,1.5,0.0,0.0
39.6,26.855,25.684,1.5,0.0,0.0
39.7,26.855,25.684,1.5,0.0,0.0
39.8,26.855,25.684,1.5,0.0,0.0
39.9,26.855,25.684,1.5,0.0,0.0
40.0,26.904,25.732,1.5,0.0,0.0
40.1,26.904,25.732,1.5,0.0,0.0
40.2,26.904,25.684,1.5,0.0,0.0
40.3,26.904,25.684,1.5,0.0,0.0
40.4,26.953,25.732,1.5,0.0,0.0
40.5,26.953,25.732,1.5,0.0,0.0
40.6,26.953,25.684,1.5,0.0,0.0
40.7,26.953,25.732,1.5,0.0,0.0
40.8,26.953,25.732,1.5,0.0,0.0
40.9,26.953,25.732,1.5,0.0,0.0
41.0,27.002,25.732,1.5,0.0,0.0
41.1,27.002,25.732,1.5,0.0,0.0
41.2,27.002,25.732,1.5,0.0,0.0
41.3,27.002,25.781,1.5,0.0,0.0
41.4,27.002,25.732,1.5,0.0,0.0
41.5,27.002,25.732,1.5,0.0,0.0
41.6,27.051,25.732,1.5,0.0,0.0
41.7,27.051,25.732,1.5,0.0,0.0
41.8,27.051,25.732,1.5,0.0,0.0
41.9,27.051,25.781,1.5,0.0,0.0
42.0,27.051,25.781,1.5,0.0,0.0
42.1,27.051,25.781,1.5,0.0,0.0
42.2,27.051,25.781,1.5,0.0,0.0
42.3,27.051,25.781,1.5,0.0,0.0
42.4,27.1,25.781,1.5,0.0,0.0
42.5,27.1,25.781,1.5,0.0,0.0
42.6,27.1,25.781,1.5,0.0,0.0
42.7,27.148,25.781,1.5,0.0,0.0
42.8,27.1,25.781,1.5,0.0,0.0
42.9,27.148,25.781,1.5,0.0,0.0
43.0,27.197,25.83,1.5,0.0,0.0
43.1,27.148,25.83,1.5,0.0,0.0
43.2,27.148,25.83,1.5,0.0,0.0
43.3,27.197,25.83,1.5,0.0,0.0
43.4,27.197,25.83,1.5,0.0,0.0
43.5,27.148,25.781,1.5,0.0,0.0
43.6,27.148,25.781,1.5,0.0,0.0
43.7,27.197,25.83,1.5,0.0,0.0
43.8,27.197,25.83,1.5,0.0,0.0
43.9,27.197,25.83,1.5,0.0,0.0
44.0,27.246,25.83,1.5,0.0,0.0
44.1,27.246,25.83,1.5,0.0,0.0
44.2,27.246,25.83,1.5,0.0,0.0
44.3,27.246,25.879,1.5,0.0,0.0
44.4,27.246,25.83,1.5,0.0,0.0
44.5,27.246,25.879,1.5,0.0,0.0
44.6,27.295,25.879,1.5,0.0,0.0
44.7,27.295,25.879,1.5,0.0,0.0
44.8,27.295,25.879,1.5,0.0,0.0
44.9,27.295,25.879,1.5,0.0,0.0
45.0,27.344,25.928,1.5,0.0,0.0
45.1,27.344,25.879,1.5,0.0,0.0
45.2,27.344,25.879,1.5,0.0,0.0
45.3,27.344,25.879,1.5,0.0,0.0
45.4,27.344,25.879,1.5,0.0,0.0
45.5,27.393,25.928,1.5,0.0,0.0
45.6,27.344,25.879,1.5,0.0,0.0
45.7,27.393,25.928,1.5,0.0,0.0
45.8,27.393,25.928,1.5,0.0,0.0
45.9,27.393,25.928,1.5,0.0,0.0
46.0,27.393,25.928,1.5,0.0,0.0
46.1,27.393,25.928,1.5,0.0,0.0
46.2,27.441,25.928,1.5,0.0,0.0
46.3,27.441,25.928,1.5,0.0,0.0
46.4,27.441,25.977,1.5,0.0,0.0
46.5,27.441,25.928,1.5,0.0,0.0
46.6,27.441,25.928,1.5,0.0,0.0
46.7,27.441,25.977,1.5,0.0,0.0
46.8,27.49,25.977,1.5,0.0,0.0
46.9,27.49,25.977,1.5,0.0,0.0
47.0,27.49,25.977,1.5,0.0,0.0
47.1,27.49,25.977,1.5,0.0,0.0
47.2,27.49,25.977,1.5,0.0,0.0
47.3,27.539,25.977,1.5,0.0,0.0
47.4,27.539,25.977,1.5,0.0,0.0
47.5,27.539,25.977,1.5,0.0,0.0
47.6,27.539,25.977,1.5,0.0,0.0
47.7,27.539,25.977,1.5,0.0,0.0
47.8,27.588,26.025,1.5,0.0,0.0
47.9,27.539,25.977,1.5,0.0,0.0
48.0,27.588,26.025,1.5,0.0,0.0
48.1,27.588,26.025,1.5,0.0,0.0
48.2,27.588,26.025,1.5,0.0,0.0
48.3,27.588,26.025,1.5,0.0,0.0
48.4,27.588,26.025,1.5,0.0,0.0
48.5,27.588,26.025,1.5,0.0,0.0
48.6,27.637,26.025,1.5,0.0,0.0
48.7,27.637,26.025,1.5,0.0,0.0
48.8,27.637,26.074,1.5,0.0,0.0
48.9,27.637,26.025,1.5,0.0,0.0
49.0,27.637,26.025,1.5,0.0,0.0
49.1,27.686,26.074,1.5,0.0,0.0
49.2,27.686,26.074,1.5,0.0,0.0
49.3,27.686,26.074,1.5,0.0,0.0
49.4,27.686,26.074,1.5,0.0,0.0
49.5,27.686,26.074,1.5,0.0,0.0
49.6,27.686,26.074,1.5,0.0,0.0
49.7,27.734,26.074,1.5,0.0,0.0
49.8,27.734,26.074,1.5,0.0,0.0
49.9,27.734,26.123,1.5,0.0,0.0
50.0,27.783,26.123,1.5,0.0,0.0
50.1,27.734,26.123,1.5,0.0,0.0
50.2,27.734,26.074,1.5,0.0,0.0
50.3,27.783,26.123,1.5,0.0,0.0
50.4,27.734,26.074,1.5,0.0,0.0
50.5,27.734,26.074,1.5,0.0,0.0
50.6,27.783,26.123,1.5,0.0,0.0
